Date,Code,Open,High,Low,Close,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2025-07-14,72030,2512,2543.5,2509,2531.5,16698800,42228001300,1,2512,2543.5,2509,2531.5,16698800
2025-07-15,72030,2550,2563,2520.5,2532,21037000,53412323500,1,2550,2563,2520.5,2532,21037000
2025-07-16,72030,2547.5,2547.5,2505,2509.5,17977300,45229954500,1,2547.5,2547.5,2505,2509.5,17977300
2025-07-17,72030,2500,2520.5,2495.5,2520.5,16570200,41580704950,1,2500,2520.5,2495.5,2520.5,16570200
2025-07-18,72030,2528,2528.5,2501,2516,12975500,32603811100,1,2528,2528.5,2501,2516,12975500
2025-07-22,72030,2496.5,2518.5,2471,2496.5,22144000,55170983850,1,2496.5,2518.5,2471,2496.5,22144000
2025-07-23,72030,2660,2905,2636,2854.5,184109600,516374179800,1,2660,2905,2636,2854.5,184109600
2025-07-24,72030,2850,2897.5,2823.5,2844.5,76238500,218002615600,1,2850,2897.5,2823.5,2844.5,76238500
2025-07-25,72030,2816,2830,2768,2787,36978000,103339740000,1,2816,2830,2768,2787,36978000
2025-07-28,72030,2809,2818.5,2780,2805,28105100,78689982250,1,2809,2818.5,2780,2805,28105100
2025-07-29,72030,2780,2783.5,2729,2741.5,24229100,66596422100,1,2780,2783.5,2729,2741.5,24229100
2025-07-30,72030,2740,2756.5,2707.5,2743.5,22891900,62578762850,1,2740,2756.5,2707.5,2743.5,22891900
2025-07-31,72030,2750,2756.5,2694,2696.5,31733900,86103669300,1,2750,2756.5,2694,2696.5,31733900
2025-08-01,72030,2715,2745,2704,2724.5,28121900,76687739700,1,2715,2745,2704,2724.5,28121900
2025-08-04,72030,2642,2685,2640.5,2675,24277700,64785497550,1,2642,2685,2640.5,2675,24277700
2025-08-05,72030,2671.5,2701,2654,2679,19623500,52574630900,1,2671.5,2701,2654,2679,19623500
2025-08-06,72030,2705,2750.5,2699,2721,24559800,67085611850,1,2705,2750.5,2699,2721,24559800
2025-08-07,72030,2723,2741,2655.5,2680,55966800,151372757850,1,2723,2741,2655.5,2680,55966800
2025-08-08,72030,2699.5,2804.5,2686.5,2773,52683900,145383634050,1,2699.5,2804.5,2686.5,2773,52683900
2025-08-12,72030,2802,2868,2791,2855,41157800,116844158500,1,2802,2868,2791,2855,41157800
